mode,scenario,agent,profit,fulfillment,defaults,final_backlog,training_share,enterprise_share,spot_share
llm-adaptive,supply_shock,PremiumCloud,1177.7649408994764,0.83700503629723,5,7.045442590679257,0.37692563637456894,0.7401512067773836,0.09065949244298685
llm-adaptive,supply_shock,SpotBroker,1478.1153248628752,0.9895763615040427,0,0.030542626423309568,0.3819665294353114,0.2811561209468701,0.2602196265494551
llm-adaptive,high_volatility,Hyperscaler,1511.9742337695307,1.0,0,0.0,0.459953745021068,0.23564575889384173,0.18204921904972649
llm-adaptive,high_volatility,PremiumCloud,1063.9451453554207,0.941196129876563,3,1.318257962009362,0.46550147964123856,0.9425871278620717,0.10892626560581237
llm-adaptive,high_volatility,SpotBroker,1130.6444993549776,0.98930434503684,1,0.0,0.418434316435925,0.2878836044921891,0.2917138794686157
llm-adaptive,no_reputation,Hyperscaler,1242.3718565025854,1.0,0,0.0,0.4804549404566939,0.23918010583308005,0.18324604482455611
llm-adaptive,no_reputation,PremiumCloud,1068.7214967787324,0.924786300051189,4,3.2322768691033517,0.4409948366839379,0.8834271871890651,0.10091274579133185
llm-adaptive,no_reputation,SpotBroker,1221.7219446990148,1.0,0,0.0,0.40252004237858235,0.28215915367541516,0.2761209410706751
llm-adaptive,no_transfer,Hyperscaler,1225.6205507536752,1.0,0,0.0,0.4842502701492676,0.26480865637355044,0.18800280916296003
llm-adaptive,no_transfer,PremiumCloud,1101.3896762453742,0.8655386674547505,8,3.0195447126202626,0.40022676533658147,0.7393116512081476,0.09751052642937992
llm-adaptive,no_transfer,SpotBroker,1231.793637718709,0.9980541118577142,0,0.0,0.408175159489233,0.313349041351101,0.27819322630202026
llm-context-adaptive,baseline,Hyperscaler,1523.1543568685581,1.0,0,0.0,0.4597275727856932,0.23407348928752283,0.18027607165521203
llm-context-adaptive,baseline,PremiumCloud,1038.208163973594,0.9465529861131021,3,0.5780312626617364,0.48381297524569844,0.9665419520577428,0.11406614498288409
llm-context-adaptive,baseline,SpotBroker,1262.3088885772024,0.9979654545683513,0,0.0,0.41160541784830096,0.28646489255808605,0.2867301783529529
llm-context-adaptive,price_war,Hyperscaler,1446.310008805807,0.9921211167414936,0,0.07830422656288046,0.41856060467333683,0.1383483063357083,0.4107767144038538
llm-context-adaptive,price_war,PremiumCloud,1045.1275918043261,0.9764514132656261,1,0.0,0.3046546851346199,0.6332143900448247,0.11182111054326885
llm-context-adaptive,price_war,SpotBroker,1009.8070201659235,0.9902658321543577,0,0.0,0.32829851036589636,0.20662210701662165,0.5149201338842464
llm-context-adaptive,supply_shock,Hyperscaler,1603.624864493329,0.9690053267961408,2,1.6135625112642527,0.502976053001941,0.24994984740969653,0.1990474456464741
llm-context-adaptive,supply_shock,PremiumCloud,1300.5844153537216,0.8887517792496614,5,2.0411211732345804,0.3790054173416481,0.7457608411367396,0.09064567194457958
llm-context-adaptive,supply_shock,SpotBroker,1422.3891434287955,0.9906922072231183,0,0.0,0.39536711852898526,0.28819896453859134,0.27073103727842995
llm-context-adaptive,high_volatility,Hyperscaler,1389.0928393459676,1.0,0,0.0,0.46810182004315404,0.2249610014517889,0.1869655470368769
llm-context-adaptive,high_volatility,PremiumCloud,1179.9082705527799,0.9543471662278026,2,1.0991384260734587,0.44207335438208845,0.9159071018889566,0.10212332148708655
llm-context-adaptive,high_volatility,SpotBroker,1175.9983554532798,1.0,0,0.0,0.41521060512808317,0.28198442120758366,0.28753200636296555
llm-context-adaptive,no_reputation,Hyperscaler,1420.5935904995667,1.0,0,0.0,0.47079383538149994,0.2330883744700663,0.1820017840630675
llm-context-adaptive,no_reputation,PremiumCloud,1042.9904399613974,0.9286736382441223,5,2.632959556326589,0.46730776372834565,0.923781702671049,0.10958182312475878
llm-context-adaptive,no_reputation,SpotBroker,1229.510544237448,1.0,0,0.0,0.404234748778586,0.28677247142082285,0.2756440224484722
llm-context-adaptive,no_transfer,Hyperscaler,1320.8396944466565,1.0,0,0.0,0.4736427855767498,0.2571701546152552,0.18552953757353316
llm-context-adaptive,no_transfer,PremiumCloud,1082.0313847824366,0.8840027794520771,7,0.0,0.42770595618916296,0.7929283806667363,0.10413221020111639
llm-context-adaptive,no_transfer,SpotBroker,1188.1866820452128,0.9979382642836356,0,0.0,0.41179982116893926,0.3166465383016556,0.2798756879897922
